"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Glow Aesthetic Center Med Spa","5","1369","17200 Ventura Blvd #302","Encino","California","US","https://glowmedspaencino.com/locations/encino-ca/?utm_source=google&utm_medium=organic&utm_campaign=encino-gmb-listing","(818) 905-8815","Medical spa","Dermatologist","Facial spa","Hair removal service","Health spa","Laser hair removal service","Skin care clinic",,,,"https://www.google.com/maps/search/?api=1&query=Glow%20Aesthetic%20Center%20Med%20Spa&query_place_id=ChIJM7UCcTaYwoARnpzwHj6mqHc","Medical spa"
"Marbella MedSpa","4.8","313","17946 Ventura Blvd","Encino","California","US","https://www.marbellamedicalspa.com/","(818) 627-2626","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Marbella%20MedSpa&query_place_id=ChIJHXLKG8uZwoARTOt6g2XtYgY","Medical spa"
"Refresh Med Spa L.A.","4.9","182","21021 Ventura Blvd Suite 100-4","Woodland Hills","California","US","http://www.refreshmedspala.com/","(818) 864-7546","Medical spa","Hair removal service","Health spa","Laser hair removal service","Skin care clinic","Weight loss service","Wellness center",,,,"https://www.google.com/maps/search/?api=1&query=Refresh%20Med%20Spa%20L.A.&query_place_id=ChIJhf3YBIydwoARHzGbnDb5AFo","Medical spa"
"S.T. Medspa","4.5","61","17815 Ventura Blvd Suite 204","Encino","California","US","http://instagram.com/s.t.medspa","(818) 514-6399","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=S.T.%20Medspa&query_place_id=ChIJ_dwFNVWZwoARHL-EMERqI30","Medical spa"
"La Belle Vie MedSpa","4.6","60","20969 Ventura Blvd #23","Woodland Hills","California","US","http://www.labelleviemedspa.com/","(818) 392-8500","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=La%20Belle%20Vie%20MedSpa&query_place_id=ChIJzwSIn_OfwoARJhRkvU6q_88","Medical spa"
"Rejuvenate Medical","4.8","192","17130 Ventura Blvd","Encino","California","US","https://rejuvenatemedical.com/","(818) 788-6363","Medical spa","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rejuvenate%20Medical&query_place_id=ChIJyURZjzaYwoARySAu0wfupfU","Medical spa"
"Bella Cielo Med Spa","5","125","19938 Ventura Blvd","Woodland Hills","California","US",,"(818) 436-2205","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bella%20Cielo%20Med%20Spa&query_place_id=ChIJKzfxHtSZwoARHdQ2ddgjJlY","Medical spa"
"EllEve Med Spa","4.6","47","20929 Ventura Blvd #38","Woodland Hills","California","US","http://ellevemedspa.com/","(747) 777-5007","Spa","Facial spa","Laser hair removal service","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=EllEve%20Med%20Spa&query_place_id=ChIJ0_oHdFefwoAR1AXeOqOjnQY","Spa"
"The Diamond Med Spa","5","59","20300 Ventura Blvd # 200","Woodland Hills","California","US","https://thediamondmedspa.com/","(747) 298-8180","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Diamond%20Med%20Spa&query_place_id=ChIJZVM2z_WZwoAR_pzKZmes5wA","Medical spa"
"Annaré","5","37","18133 Ventura Blvd Suite C","Tarzana","California","US",,"(424) 420-5230","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Annar%C3%A9&query_place_id=ChIJ0QJrCGWZwoARNVvQK02IMv8","Medical spa"
"MDS Medical Spa","4.5","81","22554 Ventura Blvd #207","Woodland Hills","California","US","http://www.mdsmedspa.com/","(818) 348-6050","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MDS%20Medical%20Spa&query_place_id=ChIJn56IcY-ewoARu_X89KKV9Rg","Medical spa"
"Hydration Room | Pacific Palisades","4.6","20","15278 Antioch St","Pacific Palisades","California","US","https://www.hydrationroom.com/","(424) 487-4760","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hydration%20Room%20%7C%20Pacific%20Palisades&query_place_id=ChIJ-6EdL-KjwoARJdGAzsF0cOo","Medical spa"
"Sylmar Med Spa","4.9","320","13711 Foothill Blvd B","Sylmar","California","US","http://sylmarmedspa.com/","(818) 408-8008","Medical spa","Facial spa","Health spa","Laser hair removal service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Sylmar%20Med%20Spa&query_place_id=ChIJhZnLus6PwoAR_6vdU17s7zU","Medical spa"
"The Beauty Clinic","5","112","11649 Tuxford St","Sun Valley","California","US","https://www.thebeautyclinic.la/","(310) 593-9543","Medical spa","Laser hair removal service","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Beauty%20Clinic&query_place_id=ChIJZ3sJzkeVwoARLle421Hv9io","Medical spa"
"Descanso Garden Spa","4.5","358","7226 Foothill Blvd","Tujunga","California","US","http://www.descansogardenspa.com/","(818) 352-2500","Day spa","Massage therapist","Spa",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Descanso%20Garden%20Spa&query_place_id=ChIJjU_9ok_rwoARnQf3AhfhhWQ","Day spa"
"Ell@'s Med Spa","4.8","60","15244 Saticoy St","Van Nuys","California","US","http://ellasmedspa.com/","(818) 285-8430","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ell%40's%20Med%20Spa&query_place_id=ChIJFV9CNE-XwoARh_NJvvAOAC0","Medical spa"
"Glam MediSpa","4.8","184","13761 Victory Blvd","Van Nuys","California","US","http://www.glammedispala.com/","(818) 902-9000","Medical spa","Laser hair removal service","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Glam%20MediSpa&query_place_id=ChIJP_H92PiWwoARTllay3vJ9kk","Medical spa"
"Bella Skin and Body-Sylmar","4.4","7","12737 Glenoaks Blvd st 26","Sylmar","California","US","http://www.bellaskinandbody.com/","(747) 767-9186","Medical spa","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bella%20Skin%20and%20Body-Sylmar&query_place_id=ChIJA3Tre8mRwoARQq3Zavx9ZyM","Medical spa"
"Clear Medical | Dr. Shawn Abrishamy, MD | Med Spa and Facial Aesthetics in Marina Del Rey","4.9","144","4560 Admiralty Way #200","Marina Del Rey","California","US","https://www.clearmd.com/","(213) 729-1603","Medical spa","Doctor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Clear%20Medical%20%7C%20Dr.%20Shawn%20Abrishamy%2C%20MD%20%7C%20Med%20Spa%20and%20Facial%20Aesthetics%20in%20Marina%20Del%20Rey&query_place_id=ChIJ4beo0oC6woARUGRkdRbMf5U","Medical spa"
"Marina Medspa","4.4","5","4560 Admiralty Way Suite 256","Marina Del Rey","California","US","https://www.marinamedspa.com/?utm_source=GMBListing&utm_medium=organic","(310) 818-7104","Medical spa","Facial spa","Laser hair removal service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Marina%20Medspa&query_place_id=ChIJlQqepYC6woAR6BtFjvcvV84","Medical spa"
"EevolveSelf MedSpa","5","3","8405 Pershing Dr Ste 302","Playa Del Rey","California","US","http://eevolveself.com/","(310) 447-4486","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=EevolveSelf%20MedSpa&query_place_id=ChIJfy2nHuOxwoARRfPuGJfE92w","Medical spa"
"The Westside Clinic","4.6","67","2000 Lincoln Blvd","Venice","California","US","http://thewestsideclinic.com/","(310) 305-1801","Medical spa","Medical clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Westside%20Clinic&query_place_id=ChIJC1etQI66woAR1L2X87POMCQ","Medical spa"
"Escape Day Spa","4.9","160","13020 Pacific Promenade #3","Playa Vista","California","US","https://escapespala.com/home-pl/","(424) 416-9666","Medical spa","Beauty salon","Facial spa","Laser hair removal service","Massage therapist","Permanent make-up clinic","Reiki therapist","Skin care clinic","Weight loss service",,"https://www.google.com/maps/search/?api=1&query=Escape%20Day%20Spa&query_place_id=ChIJAUgzZeaxwoARemLgN9_GWsc","Medical spa"
"Luxury Skin Care Med Spa","3.7","43","4560 Admiralty Way","Marina Del Rey","California","US","https://luxurymedspa.com/contact-us/","(424) 384-5001","Spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Luxury%20Skin%20Care%20Med%20Spa&query_place_id=ChIJq6q6M4e6woARWfP6MJINYL8","Spa"
"Spa Sophia","4.9","134","1027 Abbot Kinney Blvd","Venice","California","US","http://spasophia.com/","(310) 564-6676","Medical spa","Facial spa","Lymph drainage therapist","Massage therapist","Spa","Waxing hair removal service",,,,,"https://www.google.com/maps/search/?api=1&query=Spa%20Sophia&query_place_id=ChIJEae5Cce6woARebS1chv2DbI","Medical spa"
"SMOOCH MedSpa","5","7","8405 Pershing Dr #302","Playa Del Rey","California","US",,"(424) 902-5477","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SMOOCH%20MedSpa&query_place_id=ChIJ47NZOoCxwoARgCOicqOdMFE","Medical spa"
"The Things We Do","4.4","14","1416 Abbot Kinney Blvd","Venice","California","US","http://thethingswedo.co/","(424) 322-8066","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Things%20We%20Do&query_place_id=ChIJrwj872i7woAROQTbvxjjYYM","Medical spa"
